index,AFRT,DAG,LINTRAN,GRASP SOS,UMBC,SORD,OSOAA,6SV,VLIDORT,DISORT,MYSTIC,AdSaa
Complete  documentation,4,-4,2,2,4,2,4,4,2,4,4,2
Maintained version control,4,-4,4,4,4,-4,4,4,2,4,4,-4
Benchmarked ,2,4,4,2,4,4,4,4,2,2,4,4
Intuitive inputs,2,2,2,-1,1,-1,2,1,1,2,2,1
Usable interface,2,1,1,2,2,-1,2,2,1,2,2,2
Spectral convolution,-1,-1,1,-1,2,-1,1,1,1,2,-1,-1
Modular components,4,4,4,2,4,4,-4,-4,2,2,2,2
Calculates Jacobians,-1,2,2,-1,-1,-1,-1,-1,1,-1,-1,-1
Vector,-4,4,4,4,4,4,4,4,4,-4,4,4
Arbitrary scat matrices ok,1,2,2,1,2,1,2,-1,1,2,2,2
Nonspherical capability ,-4,2,4,4,-4,4,2,-4,2,4,4,4
Simulate arbitrary altitudes,2,2,2,2,2,-1,2,2,2,2,2,2
Default std atm included,2,2,2,-1,2,-1,2,2,2,2,2,2
Trace gas absorption,-4,-4,4,-4,4,2,-4,2,2,4,4,4
Multiple geometries,2,2,-1,-1,-1,2,2,-1,2,2,1,-1
Simulate upward looking,0,0,0,0,0,0,0,0,0,0,0,0
Pseudospherical,1,-1,-1,-1,-1,-1,-1,-1,2,2,2,-1
Aerosol over ocean ,4,4,4,4,4,2,4,4,4,4,4,4
Aerosol over land,0,0,0,0,0,0,0,0,0,0,0,0
Simultaneous ocean and aerosol,-4,4,4,4,4,-4,4,4,4,4,4,-4
Simultaneous land and aerosol,0,0,0,0,0,0,0,0,0,0,0,0
Large optical depths ok,0,0,0,0,0,0,0,0,0,0,0,0
GPU optimization,1,1,1,2,-1,1,2,-1,1,-1,-1,-1
Non aziumuth symmetry ok,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
Inelastic and elastic scattering,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1
Simulate thermal IR,0,0,0,0,0,0,0,0,0,0,0,0
Circular polarization,0,0,0,0,0,0,0,0,0,0,0,0
Can simulate lidar signals,0,0,0,0,0,0,0,0,0,0,0,0
Scattering medium can change,4,-4,4,-4,4,-4,4,-4,-4,-4,-4,4
3D simulation,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL SCORE,15,16,50,17,40,5,33,15,32,32,38,22
