index,AFRT,DAG,LINTRAN,GRASP SOS,UMBC,SORD,OSOAA,6SV,VLIDORT,DISORT,MYSTIC,AdSaa
Complete  documentation,4,-4,2,2,4,2,4,4,2,4,4,2
Maintained version control,4,-4,4,4,4,-4,4,4,2,4,4,-4
Benchmarked ,2,4,4,2,4,4,4,4,2,2,4,4
Intuitive inputs,2,2,2,-1,1,-1,2,1,1,2,2,1
Usable interface,2,1,1,2,2,-1,2,2,1,2,2,2
Spectral convolution,0,0,0,0,0,0,0,0,0,0,0,0
Modular components,0,0,0,0,0,0,0,0,0,0,0,0
Calculates Jacobians,0,0,0,0,0,0,0,0,0,0,0,0
Vector,0,0,0,0,0,0,0,0,0,0,0,0
Arbitrary scat matrices ok,0,0,0,0,0,0,0,0,0,0,0,0
Nonspherical capability ,0,0,0,0,0,0,0,0,0,0,0,0
Simulate arbitrary altitudes,0,0,0,0,0,0,0,0,0,0,0,0
Default std atm included,4,4,4,-4,4,-4,4,4,4,4,4,4
Trace gas absorption,0,0,0,0,0,0,0,0,0,0,0,0
Multiple geometries,0,0,0,0,0,0,0,0,0,0,0,0
Simulate upward looking,0,0,0,0,0,0,0,0,0,0,0,0
Pseudospherical,0,0,0,0,0,0,0,0,0,0,0,0
Aerosol over ocean ,4,4,4,4,4,2,4,4,4,4,4,4
Aerosol over land,0,0,0,0,0,0,0,0,0,0,0,0
Simultaneous ocean and aerosol,0,0,0,0,0,0,0,0,0,0,0,0
Simultaneous land and aerosol,0,0,0,0,0,0,0,0,0,0,0,0
Large optical depths ok,0,0,0,0,0,0,0,0,0,0,0,0
GPU optimization,1,1,1,2,-1,1,2,-1,1,-1,-1,-1
Non aziumuth symmetry ok,0,0,0,0,0,0,0,0,0,0,0,0
Inelastic and elastic scattering,0,0,0,0,0,0,0,0,0,0,0,0
Simulate thermal IR,0,0,0,0,0,0,0,0,0,0,0,0
Circular polarization,0,0,0,0,0,0,0,0,0,0,0,0
Can simulate lidar signals,0,0,0,0,0,0,0,0,0,0,0,0
Scattering medium can change,0,0,0,0,0,0,0,0,0,0,0,0
3D simulation,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL SCORE,23,8,22,11,22,-1,26,22,17,21,23,12
